feature_set,transformed_feature,gain_importance
top_450_raw_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,17288.821767807007
top_450_raw_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,15614.491806030273
top_450_raw_no_missing_indicators,categorical__CODE_GENDER_F,15459.202838897705
top_450_raw_no_missing_indicators,numeric__AMT_GOODS_PRICE,13706.84998512268
top_450_raw_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,12114.295499801636
top_450_raw_no_missing_indicators,numeric__EMPLOYED_YEARS,11983.913925170898
top_450_raw_no_missing_indicators,categorical__CODE_GENDER_M,11639.049936294556
top_450_raw_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,10798.237522125244
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_COUNT,10772.883571624756
top_450_raw_no_missing_indicators,numeric__OWN_CAR_AGE,10636.84189414978
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_1,10414.699682235718
top_450_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,9865.869373321533
top_450_raw_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,9712.383893966675
top_450_raw_no_missing_indicators,numeric__ANNUITY_PER_PERSON,9259.851636886597
top_450_raw_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,9028.496927261353
top_450_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,8982.35350227356
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_STD,8965.947080612183
top_450_raw_no_missing_indicators,numeric__AMT_CREDIT,8886.727401733398
top_450_raw_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,8711.069038391113
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_2,8409.80089378357
top_450_raw_no_missing_indicators,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,8343.811622619629
top_450_raw_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,8152.23731803894
top_450_raw_no_missing_indicators,numeric__BURO_TYPE_MORTGAGE_RATE,7502.719501495361
top_450_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,7319.100399017334
top_450_raw_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_MEAN,6955.145902633667
top_450_raw_no_missing_indicators,numeric__CREDIT_PER_PERSON,6689.528282165527
top_450_raw_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_MAX,6637.879611968994
top_450_raw_no_missing_indicators,numeric__PREV_CNT_PAYMENT_MEAN,6609.135608673096
top_450_raw_no_missing_indicators,numeric__CREDIT_INCOME_RATIO,6502.783716201782
top_450_raw_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,6371.867706298828
top_450_raw_no_missing_indicators,numeric__BURO_DAYS_ENDDATE_FACT_MAX,6335.831857681274
top_450_raw_no_missing_indicators,numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6107.365900039673
top_450_raw_no_missing_indicators,categorical__NAME_FAMILY_STATUS_Married,6021.410001754761
top_450_raw_no_missing_indicators,numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,5929.37130355835
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_MEAN,634754.1370887756
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_MIN,68648.61779785156
top_300_raw_no_missing_indicators,numeric__CREDIT_TERM_APPROX,56860.96207237244
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_MAX,44628.87906074524
top_300_raw_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,43596.556060791016
top_300_raw_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,35640.45255470276
top_300_raw_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,35557.03830909729
top_300_raw_no_missing_indicators,numeric__AGE_YEARS,30283.59358406067
top_300_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,27034.364673614502
top_300_raw_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,23086.022998809814
top_300_raw_no_missing_indicators,numeric__AMT_ANNUITY,22673.240978240967
top_300_raw_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,20268.45890235901
top_300_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,19390.837322235107
top_300_raw_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,18865.745141983032
top_300_raw_no_missing_indicators,categorical__NAME_EDUCATION_TYPE_Higher education,18685.076328277588
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_3,18323.498691558838
top_300_raw_no_missing_indicators,numeric__DAYS_EMPLOYED,16994.430057525635
top_300_raw_no_missing_indicators,categorical__CODE_GENDER_F,16489.256313323975
top_300_raw_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,15417.457340240479
top_300_raw_no_missing_indicators,numeric__AMT_GOODS_PRICE,13004.304113388062
top_300_raw_no_missing_indicators,numeric__EMPLOYED_YEARS,12596.983798980713
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_1,12428.945392608643
top_300_raw_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,11408.727716445923
top_300_raw_no_missing_indicators,numeric__OWN_CAR_AGE,11047.273094177246
top_300_raw_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,10576.650959014893
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_COUNT,10547.133451461792
top_300_raw_no_missing_indicators,numeric__ANNUITY_PER_PERSON,10389.226985931396
top_300_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,10253.301197052002
top_300_raw_no_missing_indicators,categorical__CODE_GENDER_M,10150.94068145752
top_300_raw_no_missing_indicators,numeric__EXT_SOURCE_2,10148.70821762085
top_300_raw_no_missing_indicators,numeric__AMT_CREDIT,9574.415420532227
top_300_raw_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,9566.972646713257
top_300_raw_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,9054.443794250488
top_300_raw_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,8982.262088775635
top_300_raw_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,8978.021308898926
top_300_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,8719.332929611206
top_300_raw_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_MEAN,8118.904108047485
top_300_raw_no_missing_indicators,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,7652.377698898315
top_300_raw_no_missing_indicators,numeric__CREDIT_INCOME_RATIO,7581.610168457031
top_300_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,7257.409015655518
top_300_raw_no_missing_indicators,numeric__CREDIT_PER_PERSON,7097.841190338135
top_300_raw_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,6968.546895980835
top_300_raw_no_missing_indicators,numeric__PREV_CNT_PAYMENT_MEAN,6887.573595046997
top_300_raw_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_SUM,6788.385423660278
top_300_raw_no_missing_indicators,numeric__BURO_TYPE_MORTGAGE_RATE,6737.604675292969
top_300_raw_no_missing_indicators,numeric__INST_INST_PAYMENT_RATIO_MEAN,6650.550361633301
top_300_raw_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_MAX,6633.1210079193115
top_300_raw_no_missing_indicators,numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,6572.297914505005
top_300_raw_no_missing_indicators,numeric__BURO_DAYS_ENDDATE_FACT_MAX,6417.582799911499
top_300_raw_no_missing_indicators,numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6171.964841842651
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_MEAN,611792.4473133087
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_MAX,65710.84804153442
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_MIN,65553.18928718567
domain_compact_350_no_missing_indicators,numeric__CREDIT_TERM_APPROX,55149.34408378601
domain_compact_350_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,43491.99036407471
domain_compact_350_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,36806.58944892883
domain_compact_350_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,34514.83629798889
domain_compact_350_no_missing_indicators,numeric__AGE_YEARS,30422.75707244873
domain_compact_350_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,25650.693422317505
domain_compact_350_no_missing_indicators,numeric__AMT_ANNUITY,24246.02840232849
domain_compact_350_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,22892.785181045532
domain_compact_350_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,20399.210081100464
domain_compact_350_no_missing_indicators,numeric__DAYS_EMPLOYED,18994.63790512085
domain_compact_350_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,18270.440814971924
domain_compact_350_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,17940.689575195312
domain_compact_350_no_missing_indicators,categorical__NAME_EDUCATION_TYPE_Higher education,17815.367671966553
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_3,17791.97318649292
domain_compact_350_no_missing_indicators,categorical__CODE_GENDER_F,16885.322019577026
domain_compact_350_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,14710.145700454712
domain_compact_350_no_missing_indicators,numeric__AMT_GOODS_PRICE,13574.67999458313
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_COUNT,11891.008876800537
domain_compact_350_no_missing_indicators,numeric__OWN_CAR_AGE,11108.33737373352
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_1,10710.953620910645
domain_compact_350_no_missing_indicators,numeric__EMPLOYED_YEARS,10567.13761138916
domain_compact_350_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,10519.173460006714
domain_compact_350_no_missing_indicators,numeric__ANNUITY_PER_PERSON,10302.13892364502
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_STD,10145.89310836792
domain_compact_350_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,10086.872554779053
domain_compact_350_no_missing_indicators,categorical__CODE_GENDER_M,9995.966831207275
domain_compact_350_no_missing_indicators,numeric__EXT_SOURCE_2,9935.450998306274
domain_compact_350_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,9700.905847549438
domain_compact_350_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,9576.675416946411
domain_compact_350_no_missing_indicators,numeric__AMT_CREDIT,9345.919212341309
domain_compact_350_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,9246.46082496643
domain_compact_350_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,8983.233407974243
domain_compact_350_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,8766.164869308472
domain_compact_350_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,8685.201095581055
domain_compact_350_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_MEAN,8241.544040679932
domain_compact_350_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,7951.99497795105
domain_compact_350_no_missing_indicators,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,7782.197881698608
domain_compact_350_no_missing_indicators,numeric__CREDIT_INCOME_RATIO,7671.55700302124
domain_compact_350_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,7352.199268341064
